# GYM-92 — RU alias DRAFT for the CURATED canonical exercise catalog (Channel B, ADR 0003).
#
# Purpose: one good Russian alias per canonical exercise so RU search resolves
#          ("жим лёжа" -> Bench Press). Feeds a FUTURE migration 0009 that seeds
#          exercise_alias(canonical_id, alias_name, lang='ru') with ON CONFLICT DO NOTHING.
#          This file is a REVIEWABLE DRAFT — pending operator review. NOT seeded yet.
#
# Scope: targets ONLY the 98 rows with action==KEEP in canonical_curation.tsv
#        (post-curation: ADR 0004, migration 0008). DEMOTE / MERGE / id 337 are out of scope.
#        Authoritative English names = the `canonical_name` column of the KEEP rows.
#
# Format: id <TAB> english_canonical <TAB> russian_alias <TAB> source
#   source = wger  -> sourced from wger.de community RU translation (CC-BY-SA)
#   source = hand  -> hand-translated using standard Russian gym terminology
#
# wger attribution: wger Workout Manager data is CC-BY-SA 4.0 (https://wger.de).
#   NOTE: wger's Russian catalog coverage is effectively empty for our set — only 10 RU
#   exercise translations exist site-wide (none a confident match to our 98 specific
#   machine/barbell/cable lifts). All 98 below are therefore hand-translated.
#
# Brand/abbrev terms kept Latin where that is the Russian gym standard:
#   Smith -> «в Смите», Hammer, EZ-гриф, JM.
#
# --- ABS ---
71	Ab Crunch Machine	Скручивания в тренажёре	hand
77	Incline Sit-Up	Подъём корпуса на наклонной скамье	hand
# --- BACK ---
38	Assisted Chin-Up	Подтягивания в гравитроне	hand
345	Bent-Over Barbell Row	Тяга штанги в наклоне	hand
58	Barbell Shrug	Шраги со штангой	hand
3	Close-Grip Lat Pulldown	Тяга верхнего блока узким хватом	hand
34	One-Arm Dumbbell Row	Тяга гантели одной рукой в наклоне	hand
76	Chest-Supported Dumbbell Row	Тяга гантелей лёжа на наклонной скамье	hand
348	Dumbbell Shrug	Шраги с гантелями	hand
47	Iso-Lateral Front Lat Pulldown	Вертикальная тяга к груди в Hammer	hand
53	Machine Pullover	Пуловер в тренажёре	hand
352	Back Extension	Гиперэкстензия	hand
5	Iso-Lateral Low Row	Нижняя горизонтальная тяга в Hammer	hand
35	Iso-Lateral Row	Горизонтальная тяга в Hammer	hand
4	Lat Pulldown	Тяга верхнего блока	hand
240	Neutral-Grip Lat Pulldown	Тяга верхнего блока нейтральным хватом	hand
33	Parallel-Grip Lat Pulldown	Тяга верхнего блока параллельным хватом	hand
57	Cable Pullover	Пуловер на верхнем блоке	hand
355	Pull-Up	Подтягивания	hand
147	Machine Row	Горизонтальная тяга в тренажёре	hand
6	Seated Cable Row (Close Grip)	Тяга горизонтального блока узким хватом	hand
